柯黑鴉,
,
鍋燒意麵,85
鍋燒雞絲麵,95
鍋燒烏龍麵,100
海鮮粥,100
麻油土雞湯,150
招牌豬肉筋飯,100
加麵,20
白飯,15
沙茶,0
